overall size rank	monthly unique devices	mobile unique devices	monthly pageviews	mobile web pageviews	mobile app pageviews	unique devices per editor	monthly editors	majority mobile editors	monthly active editors	monthly active administrators	monthly new active editors	second month new editor retention	bot edits	monthly nonbot edits	mobile edits	visual edits	anonymous edits	revert rate	edits Gini coefficient	content pages	all time content edits	all time edits per content page	script direction	database code	project code	language code	language name	domain name	wiki name
13	46995896.5000	0.8860	244058977.8333	0.8895	0.0057	9638.7010	4875.7500	0.5601	791.4167	21.4167	222.9167	0.0373	0.7366	106544.3333	0.2988	0.2666	0.1085	0.1679	0.9398	1228102	15489490	12.6125	right-to-left	arwiki	wikipedia	ar	Arabic	ar.wikipedia.org	Arabic Wikipedia
14	25198164.1667	0.6761	223555738.0000	0.6555	0.0101	5641.3800	4466.6667	0.2354	1272.2500	71.8333	133.5000	0.0729	0.3060	188540.6667	0.0784	0.1998	0.1224	0.0795	0.9593	1606071	36420894	22.6770	left-to-right	plwiki	wikipedia	pl	Polish	pl.wikipedia.org	Polish Wikipedia
15	26887678.5000	0.8432	122563873.0000	0.8371	0.0047	8117.4434	3312.3333	0.4389	1010.6667	29.5833	236.5833	0.0562	0.4295	115534.7500	0.5002	0.1787	0.1968	0.0901	0.9486	686085	9886110	14.4095	left-to-right	idwiki	wikipedia	id	Indonesian	id.wikipedia.org	Indonesian Wikipedia
16	21933248.9167	0.6429	122180774.7500	0.6140	0.0249	5594.0274	3920.8333	0.1806	1145.7500	30.9167	134.8333	0.0543	0.4563	145114.1667	0.0973	0.1712	0.1155	0.0847	0.9580	2152357	34478958	16.0192	left-to-right	nlwiki	wikipedia	nl	Dutch	nl.wikipedia.org	Dutch Wikipedia
17	26970635.8333	0.8079	156586160.6667	0.7744	0.0134	7910.4373	3409.5000	0.4054	836.5833	14.3333	197.1667	0.0572	0.4043	113256.8333	0.2459	0.1836	0.1177	0.1344	0.9565	570634	16221456	28.4271	left-to-right	trwiki	wikipedia	tr	Turkish	tr.wikipedia.org	Turkish Wikipedia
18	16600790.8333	0.7077	100978907.2500	0.6654	0.0078	4377.6533	3792.1667	0.2936	1193.7500	37.6667	201.1667	0.0803	0.3262	192774.0833	0.1017	0.1698	0.0770	0.0437	0.9635	1313384	20419661	15.5474	left-to-right	ukwiki	wikipedia	uk	Ukrainian	uk.wikipedia.org	Ukrainian Wikipedia
19	21240879.6667	0.6694	91906088.5000	0.5493	0.0000	9407.2912	2257.9167	0.2478	787.2500	34.0000	70.0000	0.0580	0.6408	200023.4167	0.1139	0.0038	0.0918	0.0310	0.9687	7956900	22406240	2.8160	left-to-right	enwiktionary	wiktionary	en	English	en.wiktionary.org	English Wiktionary
20	22377889.5000	0.7576	74833909.4167	0.6663	0.0055	11951.3407	1872.4167	0.2712	586.3333	15.0000	144.2500	0.0602	0.2894	120170.8333	0.2763	0.1004	0.3708	0.1000	0.9718	661339	20810766	31.4676	left-to-right	kowiki	wikipedia	ko	Korean	ko.wikipedia.org	Korean Wikipedia
21	18202610.8333	0.7314	69898806.7500	0.6878	0.0052	8609.8277	2114.1667	0.2711	618.1667	19.2500	125.5000	0.0609	0.4357	69416.4167	0.2653	0.2663	0.2246	0.1312	0.9481	1291543	13055647	10.1086	left-to-right	viwiki	wikipedia	vi	Vietnamese	vi.wikipedia.org	Vietnamese Wikipedia
22	7697634.1667	0.7410	67475709.0000	0.7309	0.0236	2403.7579	3202.3333	0.3375	1022.1667	30.0000	126.0000	0.0927	0.1583	163143.1667	0.1559	0.2391	0.1391	0.1252	0.9612	350706	20281192	57.8296	right-to-left	hewiki	wikipedia	he	Hebrew	he.wikipedia.org	Hebrew Wikipedia
23	10315973.2500	0.6509	72672706.2500	0.6069	0.0137	4239.0055	2433.5833	0.1910	680.2500	24.5000	87.1667	0.0971	0.2057	80288.6667	0.1078	0.2492	0.1270	0.0917	0.9544	542150	12371832	22.8199	left-to-right	cswiki	wikipedia	cs	Czech	cs.wikipedia.org	Czech Wikipedia
24	10924103.6667	0.6836	72285658.5833	0.6763	0.0243	4939.8668	2211.4167	0.1972	575.5833	50.5833	66.3333	0.0512	0.5764	90753.1667	0.1206	0.1408	0.1017	0.0658	0.9647	2578606	20373921	7.9011	left-to-right	svwiki	wikipedia	sv	Swedish	sv.wikipedia.org	Swedish Wikipedia
25	12930522.9167	0.7838	53995662.8333	0.7634	0.0026	11060.3945	1169.0833	0.4011	391.9167	11.0000	58.8333	0.0890	0.0831	57007.5833	0.3658	0.1582	0.2208	0.1113	0.9590	162915	6602880	40.5296	left-to-right	thwiki	wikipedia	th	Thai	th.wikipedia.org	Thai Wikipedia
26	18796626.0000	0.9473	64632936.2500	0.9443	0.0037	14580.4468	1289.1667	0.5805	237.0833	10.3333	73.1667	0.0465	0.0644	22704.5000	0.3766	0.1821	0.1977	0.1727	0.9200	160978	2515474	15.6262	left-to-right	hiwiki	wikipedia	hi	Hindi	hi.wikipedia.org	Hindi Wikipedia
27	8524432.5000	0.6614	53240321.8333	0.6571	0.0070	5193.0749	1641.5000	0.2636	489.8333	19.4167	46.5833	0.0628	0.1815	72402.0000	0.1169	0.1455	0.0893	0.0556	0.9631	539011	13958674	25.8968	left-to-right	huwiki	wikipedia	hu	Hungarian	hu.wikipedia.org	Hungarian Wikipedia
28	7053045.5833	0.6722	54455851.1667	0.6786	0.0157	4150.6815	1699.2500	0.2759	468.6667	20.2500	56.7500	0.0481	0.2359	58556.4167	0.1170	0.1755	0.1639	0.0807	0.9600	568376	13274553	23.3552	left-to-right	fiwiki	wikipedia	fi	Finnish	fi.wikipedia.org	Finnish Wikipedia
29	8426335.9167	0.5664	19341130.9167	0.6092	0.0044	6006.6550	1402.8333	0.2540	294.4167	14.0833	106.6667	0.0326	0.0716	51893.1667	0.1535	0.1857	0.3086	0.1364	0.9586	248447	4724792	19.0173	left-to-right	simplewiki	wikipedia	simple	Simple English	simple.wikipedia.org	Simple English Wikipedia
30	6891483.7500	0.7250	39457468.6667	0.7283	0.0055	6404.2287	1076.0833	0.2459	297.8333	11.6667	51.0000	0.0584	0.0865	39558.9167	0.1896	0.2453	0.1612	0.0965	0.9556	232394	6473938	27.8576	left-to-right	elwiki	wikipedia	el	Greek	el.wikipedia.org	Greek Wikipedia
31	8058985.2500	0.7337	38104699.2500	0.7234	0.0069	7918.4331	1017.7500	0.2912	251.8333	12.6667	48.3333	0.0544	0.3053	38011.8333	0.1185	0.1249	0.1197	0.0843	0.9602	444568	5915967	13.3072	left-to-right	rowiki	wikipedia	ro	Romanian	ro.wikipedia.org	Romanian Wikipedia
32	5850779.1667	0.9177	26396973.3333	0.8940	0.0087	4753.1887	1230.9167	0.6273	296.1667	11.5833	69.6667	0.0335	0.3023	42514.3333	0.4591	0.1476	0.1376	0.0731	0.9551	148519	3088492	20.7953	left-to-right	bnwiki	wikipedia	bn	Bangla	bn.wikipedia.org	Bengali Wikipedia
33	5539038.5000	0.6574	25372397.3333	0.6324	0.0121	4667.7291	1186.6667	0.1835	295.9167	32.0833	44.5000	0.0325	0.2990	55921.9167	0.0576	0.1431	0.0825	0.0571	0.9697	623653	12318731	19.7525	left-to-right	nowiki	wikipedia	no	Norwegian	no.wikipedia.org	Norwegian Bokmål Wikipedia
34	3569965.4167	0.6255	14240338.9167	0.5101	0.0079	2886.1810	1236.9167	0.1154	384.1667	20.0000	48.0833	0.0962	0.5700	63551.9167	0.0475	0.2289	0.0568	0.0744	0.9641	744833	11830045	15.8828	left-to-right	cawiki	wikipedia	ca	Catalan	ca.wikipedia.org	Catalan Wikipedia
35	5424149.4167	0.7827	29505427.1667	0.7606	0.0062	6360.1517	852.8333	0.2359	241.0833	14.6667	37.7500	0.0714	0.6047	57078.5833	0.0906	0.1102	0.1057	0.0677	0.9714	686373	8626655	12.5685	left-to-right	srwiki	wikipedia	sr	Serbian	sr.wikipedia.org	Serbian Wikipedia
36	1592279.5833	0.3506	4310888.4167	0.3632	0.0000	420.3854	3787.6667	0.2432	787.0000	69.5833	22.8333	0.0272	0.3815	87359.4167	0.0478	0.0167	0.0417	0.0785	0.9338	141777	4690575	33.0842	left-to-right	metawiki	meta	en	English	meta.wikimedia.org	Meta-Wiki
37	6014496.6667	0.6860	18517144.7500	0.6262	0.0000	12103.6324	496.9167	0.2041	173.4167	14.0000	10.9167	0.0287	0.5208	83759.3333	0.0178	0.0035	0.0439	0.0137	0.9847	5064492	8180077	1.6152	left-to-right	frwiktionary	wiktionary	fr	French	fr.wiktionary.org	French Wiktionary
38	5452556.4167	0.7969	20030708.2500	0.8088	0.0031	8244.7930	661.3333	0.3800	188.9167	6.5833	35.5833	0.0453	0.0322	26738.0833	0.5274	0.1386	0.4498	0.0825	0.9620	371282	2845669	7.6644	left-to-right	mswiki	wikipedia	ms	Malay	ms.wikipedia.org	Malay Wikipedia
39	4368424.2500	0.7340	27535106.0000	0.7121	0.0051	5870.2230	744.1667	0.2645	208.5833	9.6667	28.7500	0.0599	0.1280	32889.0833	0.1534	0.1646	0.1858	0.1020	0.9646	296919	6519941	21.9587	left-to-right	bgwiki	wikipedia	bg	Bulgarian	bg.wikipedia.org	Bulgarian Wikipedia
40	4654022.5000	0.6469	20795211.0000	0.6212	0.0105	5982.6749	777.9167	0.1759	178.5833	12.7500	27.7500	0.0375	0.2517	17948.5833	0.1320	0.1926	0.1701	0.0625	0.9457	298198	5384423	18.0565	left-to-right	dawiki	wikipedia	da	Danish	da.wikipedia.org	Danish Wikipedia
41	9327147.6667	0.8038	41728365.3333	0.8464	0.0000	35341.2605	263.9167	0.3720	64.5000	7.5000	6.1667	0.0364	0.4211	25529.5833	0.0588	0.0077	0.0314	0.0190	0.9826	1344756	3053683	2.2708	left-to-right	ruwiktionary	wiktionary	ru	Russian	ru.wiktionary.org	Russian Wiktionary
42	4626298.4167	0.7558	20999767.5833	0.7490	0.0044	8975.8417	515.4167	0.2660	125.8333	10.0000	20.0833	0.0628	0.1707	17486.6667	0.1198	0.1335	0.0909	0.0670	0.9600	219470	3193288	14.5500	left-to-right	hrwiki	wikipedia	hr	Croatian	hr.wikipedia.org	Croatian Wikipedia
43	2524467.9167	0.8204	14613582.2500	0.8165	0.0053	3668.8404	688.0833	0.4359	216.0000	17.3333	38.5000	0.0759	0.1310	42038.8333	0.1314	0.1341	0.0690	0.0754	0.9666	198806	4057557	20.4096	left-to-right	azwiki	wikipedia	az	Azerbaijani	az.wikipedia.org	Azerbaijani Wikipedia
44	2451401.8333	0.8458	13089096.0833	0.8437	0.0043	3296.7412	743.5833	0.3161	204.0833	15.7500	68.3333	0.0501	0.3082	28572.5833	0.0692	0.1788	0.0495	0.0433	0.9433	249950	1091718	4.3677	left-to-right	uzwiki	wikipedia	uz	Uzbek	uz.wikipedia.org	Uzbek Wikipedia
45	3188222.4167	0.6738	15025925.4167	0.6424	0.0049	5594.1905	569.9167	0.2123	156.1667	7.7500	24.6667	0.0633	0.3357	14217.8333	0.1455	0.2666	0.2338	0.1199	0.9435	248058	3163138	12.7516	left-to-right	skwiki	wikipedia	sk	Slovak	sk.wikipedia.org	Slovak Wikipedia
46	3716533.0000	0.9036	14193200.4167	0.8878	0.0037	10963.2242	339.0000	0.4326	78.7500	13.7500	11.0000	0.0239	0.2061	15020.4167	0.1334	0.0638	0.0730	0.0873	0.9643	163848	1937685	11.8261	left-to-right	tawiki	wikipedia	ta	Tamil	ta.wikipedia.org	Tamil Wikipedia
47	1493417.0833	0.6049	8709565.0000	0.5418	0.0044	2478.3578	602.5833	0.1146	166.5000	13.6667	29.0833	0.1372	0.1027	19496.8333	0.0537	0.2302	0.1106	0.0351	0.9506	243506	3797107	15.5935	left-to-right	etwiki	wikipedia	et	Estonian	et.wikipedia.org	Estonian Wikipedia
48	1297513.0833	0.5042	4497166.0833	0.4130	0.0000	3328.3790	389.8333	0.1059	187.1667	11.5833	11.9167	0.0567	0.0554	68627.0833	0.0108	0.0006	0.0144	0.0114	0.9646	1033020	8297422	8.0322	left-to-right	enwikisource	wikisource	en	English	en.wikisource.org	English Wikisource
49	1525492.6667	0.5614	4384842.3333	0.4837	0.0000	2886.4573	528.5000	0.1418	156.7500	11.5000	21.2500	0.0318	0.0260	16807.5000	0.0791	0.1095	0.1021	0.0601	0.9501	32447	3617591	111.4923	left-to-right	enwikivoyage	wikivoyage	en	English	en.wikivoyage.org	English Wikivoyage
50	1390925.7500	0.7970	8382684.5833	0.7747	0.0037	2807.1155	495.5000	0.2087	170.3333	8.4167	22.5000	0.1928	0.3552	26466.0000	0.0357	0.2147	0.0572	0.1110	0.9397	306227	4010674	13.0971	left-to-right	hywiki	wikipedia	hy	Armenian	hy.wikipedia.org	Armenian Wikipedia
51	2876764.0833	0.8681	16908761.0000	0.8757	0.0020	9578.5708	300.3333	0.4361	81.3333	6.5000	20.5833	0.0757	0.2222	9702.7500	0.2406	0.1596	0.0033	0.0822	0.9456	236106	1177173	4.9858	left-to-right	kkwiki	wikipedia	kk	Kazakh	kk.wikipedia.org	Kazakh Wikipedia
52	3845853.5833	0.6549	11442151.7500	0.6320	0.0000	20126.5778	191.0833	0.1090	59.5000	4.2500	2.3333	0.1037	0.3367	12338.1667	0.0126	0.0092	0.0349	0.0401	0.9699	1115596	3381116	3.0308	left-to-right	dewiktionary	wiktionary	de	German	de.wiktionary.org	German Wiktionary
53	2106191.9167	0.6714	10372953.2500	0.6294	0.0034	5707.8372	369.0000	0.1777	97.0833	3.0833	14.1667	0.0460	0.1066	23790.0833	0.0466	0.0710	0.0757	0.0480	0.9774	215738	3391119	15.7187	left-to-right	ltwiki	wikipedia	lt	Lithuanian	lt.wikipedia.org	Lithuanian Wikipedia
54	2107773.0000	0.4816	5648954.5000	0.4668	0.0000	5995.0879	351.5833	0.1640	96.5833	10.7500	23.0833	0.0480	0.0166	8096.5000	0.1071	0.2254	0.1020	0.0635	0.9267	98098	2866610	29.2219	left-to-right	enwikibooks	wikibooks	en	English	en.wikibooks.org	English Wikibooks
55	1384947.4167	0.3954	3528010.6667	0.3836	0.0000	2999.3447	461.7500	0.1617	141.6667	9.6667	24.2500	0.0225	0.0062	16966.5000	0.1079	0.0336	0.3246	0.0776	0.9532	50370	2740018	54.3978	left-to-right	enwikiquote	wikiquote	en	English	en.wikiquote.org	English Wikiquote
56	1825472.8333	0.6721	3989490.3333	0.6222	0.0066	6446.6374	283.1667	0.2212	104.0000	7.0000	16.9167	0.0204	0.1672	10385.4167	0.1407	0.0632	0.3034	0.0608	0.9451	138235	1166176	8.4362	left-to-right	zh_yuewiki	wikipedia	yue	Cantonese	zh-yue.wikipedia.org	Cantonese Wikipedia
57	1785123.5000	0.6311	7909388.1667	0.5857	0.0040	4795.4963	372.2500	0.1959	102.8333	10.0833	17.7500	0.0553	0.2000	17525.1667	0.0532	0.2131	0.1639	0.0814	0.9659	184359	2713988	14.7212	left-to-right	slwiki	wikipedia	sl	Slovenian	sl.wikipedia.org	Slovenian Wikipedia
58	1043576.0000	0.2874	3938213.4167	0.2331	0.0000	1475.1928	707.4167	0.1349	163.2500	34.7500	8.1667	0.0158	0.2868	35012.5833	0.0339	0.0202	0.0827	0.0407	0.9557	62943	1712458	27.2065	left-to-right	mediawikiwiki	mediawiki	en	English	www.mediawiki.org	MediaWiki
59	4918038.8333	0.7886	27353843.8333	0.8943	0.0000	36520.0903	134.6667	0.3420	31.4167	5.6667	4.0000	0.0109	0.0852	6878.5833	0.3165	0.0173	0.2461	0.1236	0.9725	925836	862545	0.9316	left-to-right	eswiktionary	wiktionary	es	Spanish	es.wiktionary.org	Spanish Wiktionary
60	975826.6667	0.5772	2883269.6667	0.3514	0.0045	1885.0483	517.6667	0.0697	150.1667	4.6667	22.6667	0.1694	0.2973	22803.1667	0.1113	0.2534	0.0584	0.0415	0.9512	428969	2632443	6.1367	left-to-right	euwiki	wikipedia	eu	Basque	eu.wikipedia.org	Basque Wikipedia
61	2734860.6667	0.9282	8731607.7500	0.9081	0.0039	14213.2213	192.4167	0.4583	50.7500	3.9167	10.2500	0.0316	0.4150	6703.0000	0.4738	0.1232	0.1702	0.0681	0.9539	95212	946734	9.9434	left-to-right	mrwiki	wikipedia	mr	Marathi	mr.wikipedia.org	Marathi Wikipedia
62	1766796.9167	0.7860	10183503.3333	0.7680	0.0032	6694.5257	263.9167	0.2903	73.4167	5.0000	11.6667	0.0633	0.1893	9844.4167	0.0531	0.1178	0.0626	0.0543	0.9565	171382	2101208	12.2604	left-to-right	kawiki	wikipedia	ka	Georgian	ka.wikipedia.org	Georgian Wikipedia
63	847525.5833	0.5555	3526207.9167	0.4071	0.0000	3382.2105	250.5833	0.0479	152.9167	6.2500	12.3333	0.0350	0.0534	77668.9167	0.0054	0.0001	0.0030	0.0048	0.9543	531199	8848913	16.6584	left-to-right	frwikisource	wikisource	fr	French	fr.wikisource.org	French Wikisource
64	1180273.0000	0.6490	5625495.5000	0.5812	0.0034	3818.6239	309.0833	0.1819	95.7500	10.0000	8.7500	0.0383	0.1846	14831.0833	0.0886	0.1852	0.0766	0.0654	0.9620	126095	1889608	14.9856	left-to-right	lvwiki	wikipedia	lv	Latvian	lv.wikipedia.org	Latvian Wikipedia
65	1729137.8333	0.9023	6090016.5833	0.8675	0.0096	6343.5200	272.5833	0.4242	63.0833	7.0833	8.0833	0.0261	0.1370	8074.2500	0.3363	0.1534	0.1761	0.0492	0.9515	85360	1583172	18.5470	left-to-right	mlwiki	wikipedia	ml	Malayalam	ml.wikipedia.org	Malayalam Wikipedia
66	1928477.0833	0.9050	7100497.7500	0.8893	0.0043	9843.3539	195.9167	0.3996	55.3333	4.9167	8.9167	0.0460	0.2048	16038.3333	0.1157	0.3716	0.0591	0.0277	0.9743	92630	2302761	24.8598	left-to-right	tewiki	wikipedia	te	Telugu	te.wikipedia.org	Telugu Wikipedia
67	2754101.2500	0.7575	7485693.3333	0.7078	0.0027	14974.7236	183.9167	0.2008	37.5833	5.4167	4.4167	0.0050	0.3588	21388.2500	0.0379	0.0167	0.0432	0.0266	0.9884	459002	23444225	51.0765	left-to-right	shwiki	wikipedia	sh	Serbo-Croatian	sh.wikipedia.org	Serbo-Croatian Wikipedia
68	1272100.6667	0.8716	4948246.7500	0.8120	0.0110	4315.8632	294.7500	0.5245	71.4167	5.9167	12.5833	0.0465	0.5165	27264.4167	0.3090	0.1740	0.0335	0.0170	0.9824	202916	1400235	6.9006	right-to-left	urwiki	wikipedia	ur	Urdu	ur.wikipedia.org	Urdu Wikipedia
69	2230626.0000	0.7887	7052120.8333	0.8119	0.0025	14903.9599	149.6667	0.2846	40.3333	3.7500	7.4167	0.0266	0.1221	6143.7500	0.2712	0.2038	0.1261	0.0595	0.9590	46763	915978	19.5877	left-to-right	tlwiki	wikipedia	tl	Tagalog	tl.wikipedia.org	Tagalog Wikipedia
70	3053746.4167	0.8570	9269187.5000	0.8045	0.0022	13238.7850	230.6667	0.4715	27.7500	5.6667	6.3333	0.0067	0.8987	11239.2500	0.2246	0.0430	0.2281	0.0615	0.9760	1622122	2274292	1.4020	right-to-left	arzwiki	wikipedia	arz	Egyptian Arabic	arz.wikipedia.org	Egyptian Arabic Wikipedia
71	2015691.5000	0.6599	6551144.4167	0.6794	0.0000	18592.0815	108.4167	0.1639	40.5833	3.5000	1.1667	0.0476	0.6503	7882.6667	0.0248	0.0019	0.1077	0.0283	0.9523	791649	2296845	2.9013	left-to-right	plwiktionary	wiktionary	pl	Polish	pl.wiktionary.org	Polish Wiktionary
72	1477535.2500	0.8089	5815920.9167	0.7847	0.0035	5843.9100	252.8333	0.3017	52.8333	6.9167	9.5000	0.0310	0.2547	7557.1667	0.1882	0.1518	0.1258	0.0677	0.9547	96066	1065897	11.0955	left-to-right	sqwiki	wikipedia	sq	Albanian	sq.wikipedia.org	Albanian Wikipedia
73	1935584.8333	0.7674	5164336.4167	0.7291	0.0029	11742.6785	164.8333	0.2402	35.1667	5.5000	4.5833	0.0409	0.3656	4661.3333	0.1298	0.1546	0.0884	0.0734	0.9545	93025	1018815	10.9521	left-to-right	bswiki	wikipedia	bs	Bosnian	bs.wikipedia.org	Bosnian Wikipedia
74	806470.5833	0.6355	2252969.0000	0.4528	0.0052	3140.0542	256.8333	0.1431	80.2500	3.5833	6.4167	0.0644	0.2771	20167.8333	0.0234	0.1149	0.0288	0.0258	0.9747	203788	3276062	16.0758	left-to-right	glwiki	wikipedia	gl	Galician	gl.wikipedia.org	Galician Wikipedia
75	750231.5833	0.6273	1926401.4167	0.3249	0.0050	2447.7376	306.5000	0.1337	81.0000	4.3333	6.5833	0.1197	0.5767	24778.5833	0.0231	0.0887	0.0274	0.0089	0.9781	350605	3490498	9.9556	left-to-right	eowiki	wikipedia	eo	Esperanto	eo.wikipedia.org	Esperanto Wikipedia
76	919858.5000	0.7316	3767699.7500	0.6569	0.0032	3815.5209	241.0833	0.1499	63.0833	6.5000	8.3333	0.0798	0.0742	17493.1667	0.0491	0.1252	0.0353	0.0395	0.9752	142111	2025853	14.2554	left-to-right	mkwiki	wikipedia	mk	Macedonian	mk.wikipedia.org	Macedonian Wikipedia
77	647513.3333	0.6966	2001624.3333	0.4149	0.0070	2405.6223	269.1667	0.1579	82.6667	7.7500	7.2500	0.0909	0.3899	17419.6667	0.0248	0.0990	0.0288	0.0163	0.9687	240273	2075663	8.6388	left-to-right	bewiki	wikipedia	be	Belarusian	be.wikipedia.org	Belarusian Wikipedia
78	644042.7500	0.4272	1642865.1667	0.4192	0.0000	2766.1106	232.8333	0.1279	82.7500	10.3333	19.3333	0.1685	0.2545	7544.7500	0.0305	0.2498	0.0554	0.0656	0.9110	31681	1196990	37.7826	left-to-right	enwikiversity	wikiversity	en	English	en.wikiversity.org	English Wikiversity
79	201428.2500	0.3853	1030331.4167	0.2145	0.0000	426.3784	472.4167	0.2420	240.6667	16.0000	40.8333	0.1630	0.0581	27651.6667	0.1533	0.2858	0.0227	0.0166	0.9029	151593	2473104	16.3141	left-to-right	incubatorwiki	incubator	en	English	incubator.wikimedia.org	Wikimedia Incubator
80	2287319.0000	0.7271	12708184.5000	0.7571	0.0000	33270.0945	68.7500	0.3747	19.9167	5.8333	1.0833	0.0152	0.8677	10405.8333	0.2713	0.0051	0.0644	0.0352	0.9772	1493467	1668756	1.1174	left-to-right	elwiktionary	wiktionary	el	Greek	el.wiktionary.org	Greek Wiktionary
81	782248.6667	0.4514	2504103.0833	0.4410	0.0000	5830.4248	134.1667	0.1660	52.9167	3.7500	2.7500	0.0602	0.1284	7486.3333	0.0816	0.0347	0.0701	0.0188	0.9419	455266	987654	2.1694	left-to-right	zhwikisource	wikisource	zh	Chinese	zh.wikisource.org	Chinese Wikisource
82	1182245.5833	0.9192	4411817.4167	0.9029	0.0040	6083.5965	194.3333	0.2702	34.7500	3.7500	3.7500	0.0839	0.0970	4099.7500	0.1496	0.0992	0.0754	0.0765	0.9036	31354	456563	14.5616	left-to-right	knwiki	wikipedia	kn	Kannada	kn.wikipedia.org	Kannada Wikipedia
83	550290.1667	0.5191	1720891.5833	0.3555	0.0000	2555.5271	215.3333	0.0760	73.0000	13.8333	3.7500	0.0224	0.0503	31539.2500	0.0046	0.0006	0.0126	0.0097	0.9745	869307	4320244	4.9698	left-to-right	specieswiki	species	en	English	species.wikimedia.org	Wikispecies
84	1168229.3333	0.7089	3483374.5000	0.6332	0.0000	13976.8215	83.5833	0.1627	31.9167	4.0000	1.4167	0.0092	0.7044	8491.6667	0.0056	0.0006	0.0000	0.0102	0.9656	621383	1624809	2.6148	left-to-right	ruwikisource	wikisource	ru	Russian	ru.wikisource.org	Russian Wikisource
