overall size rank,monthly unique devices,mobile unique devices,monthly pageviews,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority mobile editors,monthly new active editors,second month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly structured discussions messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,language name,domain name,wiki name
23,10045509.9167,0.5621,78731516.2500,0.5123,0.0123,4002.3281,2509.9167,720.0833,25.5000,0.1478,100.3333,0.0710,79125.5833,0.3535,0.0673,0.2610,0.1267,0.0888,0.9515,0.0000,495500,10742384,21.6799,left-to-right,cswiki,wikipedia,cs,Czech,cs.wikipedia.org,Czech Wikipedia
24,11334470.5833,0.6238,89972525.1667,0.6417,0.0208,4542.7223,2495.0833,634.7500,49.7500,0.1787,72.8333,0.0428,90112.2500,0.1894,0.0847,0.1419,0.1099,0.0811,0.9611,0.0000,2734343,18592013,6.7994,left-to-right,svwiki,wikipedia,sv,Swedish,sv.wikipedia.org,Swedish Wikipedia
25,15008996.9167,0.7356,62808283.0833,0.7143,0.0019,14188.4326,1057.8333,342.5000,8.9167,0.3105,39.6667,0.0999,45160.0833,0.1542,0.2589,0.1275,0.1570,0.0692,0.9552,0.0000,145336,5598058,38.5180,left-to-right,thwiki,wikipedia,th,Thai,th.wikipedia.org,Thai Wikipedia
26,8763299.5833,0.5937,60588516.8333,0.5796,0.0062,4876.4013,1797.0833,522.5000,22.5000,0.2176,60.4167,0.0656,78326.8333,0.1634,0.0893,0.1582,0.0975,0.0585,0.9621,0.0000,498052,12437129,24.9715,left-to-right,huwiki,wikipedia,hu,Hungarian,hu.wikipedia.org,Hungarian Wikipedia
27,17971539.5833,0.9349,61562865.7500,0.9431,0.0073,12799.4822,1404.0833,231.5000,8.7500,0.6318,72.4167,0.0538,28699.2500,0.0487,0.3584,0.1341,0.1969,0.2199,0.9338,0.0000,151858,2150833,14.1634,left-to-right,hiwiki,wikipedia,hi,Hindi,hi.wikipedia.org,Hindi Wikipedia
28,7149629.0000,0.6025,61283633.6667,0.6297,0.0147,3801.6460,1880.6667,518.5000,20.5833,0.2675,70.2500,0.0493,58299.5000,0.0606,0.0826,0.1452,0.1284,0.0829,0.9551,16.8333,522840,12045036,23.0377,left-to-right,fiwiki,wikipedia,fi,Finnish,fi.wikipedia.org,Finnish Wikipedia
29,7331277.8333,0.6366,40681981.9167,0.6523,0.0054,6079.0032,1206.0000,326.6667,11.1667,0.2185,71.4167,0.0636,44218.0833,0.1432,0.2167,0.2690,0.2329,0.1303,0.9553,400.0000,204637,5605348,27.3917,left-to-right,elwiki,wikipedia,el,Greek,el.wikipedia.org,Greek Wikipedia
30,8216163.5000,0.6723,42318365.5833,0.6479,0.0070,7902.0567,1039.7500,264.8333,11.5833,0.2579,57.4167,0.0535,37807.7500,0.5183,0.1317,0.1461,0.1450,0.0820,0.9583,0.0000,426441,5179791,12.1466,left-to-right,rowiki,wikipedia,ro,Romanian,ro.wikipedia.org,Romanian Wikipedia
31,5569847.0000,0.5701,30418399.5000,0.5887,0.0104,4136.0250,1346.6667,331.2500,25.8333,0.1675,54.0833,0.0308,64770.0000,0.2814,0.0504,0.1513,0.1202,0.0631,0.9705,60.4167,575090,11117547,19.3318,left-to-right,nowiki,wikipedia,no,Norwegian,no.wikipedia.org,Norwegian Bokmål Wikipedia
32,6268882.2500,0.6241,13895668.8333,0.5878,0.0055,5095.2714,1230.3333,282.0833,15.1667,0.2402,97.4167,0.0311,48499.4167,0.1596,0.1316,0.1244,0.2528,0.1515,0.9573,0.0000,201879,3791671,18.7819,left-to-right,simplewiki,wikipedia,simple,Simple English,simple.wikipedia.org,Simple English Wikipedia
33,3720438.3333,0.4246,15947948.0000,0.4166,0.0073,2612.2088,1424.2500,446.5000,14.3333,0.0940,62.0833,0.1432,71598.3333,0.7311,0.0378,0.2152,0.0927,0.0611,0.9620,1056.1667,693254,10448417,15.0716,left-to-right,cawiki,wikipedia,ca,Catalan,ca.wikipedia.org,Catalan Wikipedia
34,2156966.1667,0.4038,6483389.3333,0.4003,0.0000,669.2071,3223.1667,696.1667,73.5833,0.1747,18.0833,0.0420,96549.6667,0.2738,0.0354,0.0122,0.0494,0.0713,0.9395,0.0000,112267,3641664,32.4375,left-to-right,metawiki,meta,en,English,meta.wikimedia.org,Meta-Wiki
35,4519894.0000,0.8279,18682701.2500,0.8553,0.0152,3151.0328,1434.4167,316.7500,10.8333,0.6086,84.2500,0.0466,55546.7500,0.1843,0.3434,0.1204,0.0805,0.0583,0.9586,0.0000,116654,2278161,19.5292,left-to-right,bnwiki,wikipedia,bn,Bangla,bn.wikipedia.org,Bengali Wikipedia
36,5355847.3333,0.6880,31306520.4167,0.6881,0.0059,5778.6520,926.8333,251.4167,15.9167,0.2094,36.5000,0.0803,45690.1667,0.2693,0.0999,0.1515,0.1365,0.0825,0.9619,0.0000,654242,7485674,11.4418,left-to-right,srwiki,wikipedia,sr,Serbian,sr.wikipedia.org,Serbian Wikipedia
37,4362595.5000,0.6102,28034782.8333,0.6271,0.0047,5199.7563,839.0000,235.7500,12.1667,0.2151,36.3333,0.0637,32143.5833,0.3953,0.1394,0.1471,0.1802,0.0939,0.9586,0.0000,278446,5845967,20.9950,left-to-right,bgwiki,wikipedia,bg,Bulgarian,bg.wikipedia.org,Bulgarian Wikipedia
38,5693709.3333,0.7366,18965565.4167,0.7321,0.0031,9378.7937,607.0833,174.5833,6.9167,0.3462,33.8333,0.0600,28076.2500,0.2194,0.3669,0.1250,0.2375,0.0735,0.9626,0.0000,355374,2289010,6.4411,left-to-right,mswiki,wikipedia,ms,Malay,ms.wikipedia.org,Malay Wikipedia
39,4845059.2500,0.5626,25174361.0000,0.5862,0.0095,5282.1578,917.2500,196.0833,14.9167,0.1640,34.1667,0.0409,22284.5000,0.3542,0.1200,0.2283,0.2478,0.0849,0.9485,0.0000,271691,4964218,18.2716,left-to-right,dawiki,wikipedia,da,Danish,da.wikipedia.org,Danish Wikipedia
40,4744480.1667,0.6641,21319784.6667,0.6658,0.0043,7777.8363,610.0000,170.2500,10.9167,0.2383,30.1667,0.0447,20964.0000,0.5219,0.1215,0.1604,0.1487,0.1207,0.9542,0.0000,210150,2861210,13.6151,left-to-right,hrwiki,wikipedia,hr,Croatian,hr.wikipedia.org,Croatian Wikipedia
41,4831080.0000,0.5955,12719339.8333,0.4802,0.0000,10210.1021,473.1667,163.1667,14.5000,0.1873,10.5833,0.0323,48823.3333,0.4319,0.0309,0.0072,0.0813,0.0225,0.9768,0.0000,4300885,6450132,1.4997,left-to-right,frwiktionary,wiktionary,fr,French,fr.wiktionary.org,French Wiktionary
42,2501996.8333,0.6997,17901007.0000,0.8154,0.0051,2756.2620,907.7500,269.4167,15.5833,0.4360,61.4167,0.0795,39163.5000,0.1856,0.2271,0.1541,0.0831,0.0910,0.9583,0.0000,181173,3286651,18.1410,left-to-right,azwiki,wikipedia,az,Azerbaijani,az.wikipedia.org,Azerbaijani Wikipedia
43,3419866.1667,0.5550,17381345.0833,0.5352,0.0045,5813.6271,588.2500,150.7500,8.0000,0.1814,25.9167,0.0612,12865.5000,0.0549,0.1643,0.2115,0.2879,0.1251,0.9381,0.0000,238825,2878812,12.0541,left-to-right,skwiki,wikipedia,sk,Slovak,sk.wikipedia.org,Slovak Wikipedia
44,7569025.7500,0.7169,19478098.8333,0.6789,0.0000,29065.0589,260.4167,66.9167,8.2500,0.2870,7.5000,0.0481,19665.5000,0.4449,0.0453,0.0064,0.0526,0.0436,0.9763,0.0000,1161614,2530066,2.1781,left-to-right,ruwiktionary,wiktionary,ru,Russian,ru.wiktionary.org,Russian Wiktionary
45,3204793.1667,0.8115,11722105.5833,0.8602,0.0066,8382.1966,382.3333,94.8333,8.9167,0.4524,15.5000,0.0845,13807.4167,0.3948,0.2150,0.1261,0.1038,0.0859,0.9532,0.0000,143751,1653586,11.5031,left-to-right,tawiki,wikipedia,ta,Tamil,ta.wikipedia.org,Tamil Wikipedia
46,1350752.0833,0.5447,7294140.2500,0.6965,0.0040,2296.5465,588.1667,189.9167,8.7500,0.1655,20.4167,0.2050,31781.1667,0.3540,0.0296,0.1291,0.0598,0.1114,0.9418,0.0000,289868,3590740,12.3875,left-to-right,hywiki,wikipedia,hy,Armenian,hy.wikipedia.org,Armenian Wikipedia
47,2299568.0000,0.4341,6046499.8333,0.3831,0.0000,5905.1607,389.4167,104.6667,11.4167,0.1703,24.1667,0.0861,9434.4167,0.0231,0.0630,0.1215,0.0876,0.0664,0.9262,0.0000,94986,2688030,28.2992,left-to-right,enwikibooks,wikibooks,en,English,en.wikibooks.org,English Wikibooks
48,1379732.7500,0.3743,8557075.7500,0.4087,0.0052,2335.8907,590.6667,164.0000,14.2500,0.1042,28.5000,0.1678,17978.0833,0.0815,0.0507,0.1924,0.1195,0.0388,0.9455,0.0000,224455,3372813,15.0267,left-to-right,etwiki,wikipedia,et,Estonian,et.wikipedia.org,Estonian Wikipedia
49,2133752.6667,0.5179,11546072.1667,0.4844,0.0026,5376.9492,396.8333,99.2500,4.2500,0.1336,17.5000,0.0865,18837.1667,0.4481,0.0418,0.0848,0.0818,0.0569,0.9679,0.0000,201516,2838207,14.0843,left-to-right,ltwiki,wikipedia,lt,Lithuanian,lt.wikipedia.org,Lithuanian Wikipedia
50,1076574.2500,0.4464,4316223.7500,0.3280,0.0000,2695.3664,399.4167,193.0833,12.7500,0.1089,11.5833,0.0526,75042.0833,0.2541,0.0054,0.0005,0.0060,0.0151,0.9614,0.0000,921157,6742515,7.3196,left-to-right,enwikisource,wikisource,en,English,en.wikisource.org,English Wikisource
51,1600296.0000,0.6132,3439490.0000,0.5504,0.0081,4906.3751,326.1667,123.0833,8.3333,0.2728,29.0000,0.0161,15610.7500,0.1291,0.1236,0.0849,0.2372,0.0550,0.9554,0.0000,121866,925463,7.5941,left-to-right,zh_yuewiki,wikipedia,zh-yue,Cantonese,zh-yue.wikipedia.org,Cantonese Wikipedia
52,1738745.6667,0.4698,7921478.5833,0.4721,0.0040,4275.6041,406.6667,109.5833,11.5833,0.0926,15.0833,0.0400,16824.8333,0.0305,0.0510,0.3252,0.1816,0.0695,0.9629,0.0000,174694,2391079,13.6872,left-to-right,slwiki,wikipedia,sl,Slovenian,sl.wikipedia.org,Slovenian Wikipedia
53,2861052.3333,0.5550,7480303.0833,0.4610,0.0000,13788.2040,207.5000,63.0833,5.5833,0.1148,3.6667,0.0882,17715.6667,0.6879,0.0190,0.0092,0.0323,0.0183,0.9753,0.0000,1022639,3096239,3.0277,left-to-right,dewiktionary,wiktionary,de,German,de.wiktionary.org,German Wiktionary
54,944056.7500,0.2376,5125462.5000,0.1531,0.0000,1001.3861,942.7500,183.7500,38.1667,0.1742,9.5000,0.0148,42290.0833,0.2523,0.0327,0.0218,0.0739,0.0430,0.9603,2917.5000,49547,1341138,27.0680,left-to-right,mediawikiwiki,mediawiki,en,English,www.mediawiki.org,MediaWiki
55,2764338.6667,0.7979,18245524.6667,0.8251,0.0015,9688.1028,285.3333,61.5833,6.0000,0.2877,13.0833,0.0392,8608.8333,0.2027,0.0828,0.0967,0.0066,0.0532,0.9405,5.5833,230416,985203,4.2758,left-to-right,kkwiki,wikipedia,kk,Kazakh,kk.wikipedia.org,Kazakh Wikipedia
56,1224233.2500,0.4267,3675188.7500,0.3203,0.0000,2584.1335,473.7500,123.0000,7.8333,0.1456,22.0833,0.0225,11790.5833,0.0047,0.0955,0.0186,0.3137,0.1433,0.9394,0.0000,41804,2415861,57.7902,left-to-right,enwikiquote,wikiquote,en,English,en.wikiquote.org,English Wikiquote
57,1630869.3333,0.8742,6961212.7500,0.8655,0.0135,4754.7211,343.0000,85.3333,8.5833,0.4362,14.8333,0.0356,10510.7500,0.2025,0.2344,0.1693,0.1465,0.0399,0.9525,0.0000,77065,1436244,18.6368,left-to-right,mlwiki,wikipedia,ml,Malayalam,ml.wikipedia.org,Malayalam Wikipedia
58,2362170.6667,0.9152,8460292.7500,0.9202,0.0065,10856.3953,217.5833,52.6667,2.1667,0.4714,14.4167,0.0519,8639.5833,0.2421,0.5447,0.0942,0.1148,0.0350,0.9588,0.0000,82506,789615,9.5704,left-to-right,mrwiki,wikipedia,mr,Marathi,mr.wikipedia.org,Marathi Wikipedia
59,2732528.5000,0.6200,6465930.2500,0.5591,0.0000,20938.9157,130.5000,43.5833,3.3333,0.1085,2.1667,0.0536,10081.6667,0.6196,0.0234,0.0016,0.0461,0.0257,0.9635,0.0000,754525,2120756,2.8107,left-to-right,plwiktionary,wiktionary,pl,Polish,pl.wiktionary.org,Polish Wiktionary
60,1356075.5833,0.6774,8833371.1667,0.6727,0.0029,4477.9601,302.8333,82.5833,3.3333,0.2191,12.4167,0.0615,13769.9167,0.2559,0.0386,0.0853,0.0666,0.0532,0.9623,0.0000,158175,1897487,11.9961,left-to-right,kawiki,wikipedia,ka,Georgian,ka.wikipedia.org,Georgian Wikipedia
61,1206846.4167,0.3820,5828601.9167,0.3910,0.0024,3882.6158,310.8333,91.6667,9.5833,0.1084,11.4167,0.0366,12919.9167,0.1697,0.0463,0.1374,0.0838,0.0510,0.9578,19.2500,110539,1582244,14.3139,left-to-right,lvwiki,wikipedia,lv,Latvian,lv.wikipedia.org,Latvian Wikipedia
62,667084.6667,0.5150,3277960.3333,0.3336,0.0000,2450.2651,272.2500,149.2500,7.9167,0.1484,8.2500,0.0396,77618.0000,0.1669,0.0027,0.0001,0.0041,0.0047,0.9612,211.5833,452349,7201513,15.9203,left-to-right,frwikisource,wikisource,fr,French,fr.wikisource.org,French Wikisource
63,2494434.0833,0.7460,6127276.3333,0.6662,0.0028,17134.0635,145.5833,38.6667,3.9167,0.2552,7.2500,0.0119,5192.5000,0.2963,0.1470,0.1368,0.1588,0.0753,0.9521,0.0000,42695,806532,18.8905,left-to-right,tlwiki,wikipedia,tl,Tagalog,tl.wikipedia.org,Tagalog Wikipedia
64,2379656.0833,0.6122,6923206.0000,0.4618,0.0028,11603.3616,205.0833,35.9167,3.9167,0.1889,3.7500,0.0127,4330.8333,0.7394,0.0949,0.0998,0.2195,0.0972,0.9425,0.0000,456118,23155920,50.7674,left-to-right,shwiki,wikipedia,sh,Serbo-Croatian,sh.wikipedia.org,Serbo-Croatian Wikipedia
65,608727.7500,0.3797,2477671.8333,0.2532,0.0000,1364.6055,446.0833,128.9167,13.1667,0.2007,15.0833,0.0194,19307.8333,0.0049,0.0644,0.0476,0.0658,0.0792,0.9615,0.0000,31074,3232484,104.0254,left-to-right,enwikivoyage,wikivoyage,en,English,en.wikivoyage.org,English Wikivoyage
66,449680.1667,0.3212,2456278.0833,0.1821,0.0039,875.0060,513.9167,157.4167,5.0000,0.0494,24.7500,0.1810,25189.6667,0.3755,0.0660,0.2307,0.0487,0.0469,0.9509,92.7500,385777,2169946,5.6249,left-to-right,euwiki,wikipedia,eu,Basque,eu.wikipedia.org,Basque Wikipedia
67,1241330.9167,0.7754,6011918.8333,0.7178,0.0033,4716.9003,263.1667,56.9167,5.5000,0.2600,15.3333,0.0587,4428.4167,0.7456,0.1919,0.1845,0.2333,0.0802,0.9090,0.0000,84262,943148,11.1930,left-to-right,sqwiki,wikipedia,sq,Albanian,sq.wikipedia.org,Albanian Wikipedia
68,730415.2500,0.3719,2005784.0833,0.2894,0.0000,2798.5259,261.0000,93.9167,9.0000,0.1326,24.1667,0.1602,8406.0000,0.0078,0.0231,0.2885,0.0566,0.0434,0.9000,0.0000,29103,1089763,37.4450,left-to-right,enwikiversity,wikiversity,en,English,en.wikiversity.org,English Wikiversity
69,1311276.0000,0.8689,4904273.0000,0.8602,0.0085,6550.9209,200.1667,50.6667,7.7500,0.3327,7.6667,0.0611,17917.5833,0.3054,0.0630,0.1823,0.0359,0.0190,0.9756,0.0000,74610,1966414,26.3559,left-to-right,tewiki,wikipedia,te,Telugu,te.wikipedia.org,Telugu Wikipedia
70,2467906.3333,0.6802,13093385.0833,0.6816,0.0000,30281.0593,81.5000,24.3333,3.8333,0.3387,2.6667,0.0625,34665.1667,0.0828,0.0241,0.0018,0.0222,0.0177,0.9927,0.0000,801465,1328616,1.6577,left-to-right,elwiktionary,wiktionary,el,Greek,el.wiktionary.org,Greek Wiktionary
71,1512364.7500,0.6801,3894640.5833,0.5788,0.0037,8488.4832,178.1667,39.1667,6.0000,0.1977,7.5833,0.0250,6238.1667,0.4721,0.0504,0.1023,0.1154,0.0664,0.9581,6.7500,89037,931820,10.4655,left-to-right,bswiki,wikipedia,bs,Bosnian,bs.wikipedia.org,Bosnian Wikipedia
72,1303363.5000,0.8245,6136438.0000,0.7911,0.0057,5771.3513,225.8333,41.5000,6.5833,0.4259,12.0000,0.0139,6162.3333,0.7437,0.1790,0.0384,0.1303,0.0521,0.9474,0.0000,138638,375013,2.7050,left-to-right,uzwiki,wikipedia,uz,Uzbek,uz.wikipedia.org,Uzbek Wikipedia
73,595347.5833,0.1658,1682389.3333,0.1439,0.0053,2281.0252,261.0000,81.2500,6.5000,0.1021,7.4167,0.1029,16880.8333,0.1156,0.0263,0.0964,0.0294,0.0158,0.9678,0.0000,213352,1714242,8.0348,left-to-right,bewiki,wikipedia,be,Belarusian,be.wikipedia.org,Belarusian Wikipedia
74,699408.9167,0.7238,3260453.0833,0.7798,0.0192,2551.0356,274.1667,63.5000,6.9167,0.5099,12.6667,0.0452,11191.4167,0.7289,0.1943,0.0948,0.0477,0.0248,0.9616,22.9167,166702,905963,5.4346,right-to-left,urwiki,wikipedia,ur,Urdu,ur.wikipedia.org,Urdu Wikipedia
75,1540322.2500,0.8221,3512062.9167,0.6944,0.0045,7150.4321,215.4167,28.5833,5.7500,0.4246,6.8333,0.0103,42397.0000,0.7424,0.0271,0.0150,0.0185,0.0129,0.9932,0.0000,1532351,2021074,1.3189,right-to-left,arzwiki,wikipedia,arz,Egyptian Arabic,arz.wikipedia.org,Egyptian Arabic Wikipedia
76,1947819.5833,0.6712,3733000.0000,0.6184,0.0000,18654.2977,104.4167,22.2500,3.7500,0.2606,2.0000,0.0000,4147.8333,0.1001,0.0961,0.0119,0.3013,0.0964,0.9663,0.0000,909136,740302,0.8143,left-to-right,eswiktionary,wiktionary,es,Spanish,es.wiktionary.org,Spanish Wiktionary
77,656136.9167,0.5872,3414368.5000,0.5472,0.0032,2869.4034,228.6667,65.3333,7.7500,0.1218,12.7500,0.0774,25095.0833,0.0933,0.0321,0.0740,0.0347,0.0210,0.9817,0.0000,122169,1709084,13.9895,left-to-right,mkwiki,wikipedia,mk,Macedonian,mk.wikipedia.org,Macedonian Wikipedia
78,744539.4167,0.4211,2013615.0833,0.4022,0.0000,5877.9428,126.6667,56.1667,2.1667,0.0828,4.8333,0.2079,3341.3333,0.0041,0.0324,0.1176,0.1068,0.0183,0.8995,0.0000,30251,649506,21.4706,left-to-right,dewikibooks,wikibooks,de,German,de.wikibooks.org,German Wikibooks
79,506497.1667,0.4198,2028087.2500,0.3029,0.0054,1772.5185,285.7500,80.6667,5.5000,0.1071,7.6667,0.0000,19085.1667,0.2067,0.0279,0.1200,0.0405,0.0285,0.9722,0.0000,179008,2852210,15.9334,left-to-right,glwiki,wikipedia,gl,Galician,gl.wikipedia.org,Galician Wikipedia
80,211663.0000,0.1861,882096.6667,0.1671,0.0000,533.6042,396.6667,181.5000,17.2500,0.1855,27.8333,0.0927,22359.9167,0.0943,0.1146,0.1661,0.1005,0.0146,0.9065,0.0000,136049,1897541,13.9475,left-to-right,incubatorwiki,incubator,en,English,incubator.wikimedia.org,Wikimedia Incubator
81,792275.5833,0.5367,2512991.8333,0.6166,0.0034,5825.5558,136.0000,44.8333,6.3333,0.2588,9.1667,0.1737,3839.3333,0.3247,0.0703,0.0688,0.0359,0.0230,0.9378,0.0000,69048,377376,5.4654,left-to-right,swwiki,wikipedia,sw,Swahili,sw.wikipedia.org,Swahili Wikipedia
