overall size rank,monthly unique devices,mobile unique devices,monthly pageviews,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,majority mobile editors,monthly active editors,monthly active administrators,monthly new active editors,second month new editor retention,bot edits,monthly nonbot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,content pages,all time content edits,all time edits per content page,script direction,database code,project code,language code,language name,domain name,wiki name
15,27183391.0833,0.8308,103726361.5833,0.8086,0.0057,8183.0443,3321.9167,0.4457,1017.5000,29.9167,259.3333,0.0619,0.4031,117898.3333,0.4841,0.1713,0.1863,0.0877,0.9479,638356,8720445,13.6608,left-to-right,idwiki,wikipedia,id,Indonesian,id.wikipedia.org,Indonesian Wikipedia
16,20699380.2500,0.6175,121029980.0000,0.5932,0.0252,5249.0979,3943.4167,0.1724,1167.3333,28.1667,142.6667,0.0540,0.3204,156488.2500,0.0815,0.1599,0.1118,0.0795,0.9602,2115296,33101888,15.6488,left-to-right,nlwiki,wikipedia,nl,Dutch,nl.wikipedia.org,Dutch Wikipedia
17,25885425.0833,0.7880,131491449.6667,0.7311,0.0160,7245.7453,3572.5000,0.3916,868.6667,12.7500,225.2500,0.0584,0.3591,115031.9167,0.2047,0.1709,0.1243,0.1337,0.9538,535703,15185722,28.3473,left-to-right,trwiki,wikipedia,tr,Turkish,tr.wikipedia.org,Turkish Wikipedia
18,14687091.3333,0.6856,89883156.5000,0.6354,0.0084,4280.0791,3431.5000,0.2886,1077.0000,36.7500,201.5000,0.0741,0.4609,169455.5000,0.0974,0.1452,0.0863,0.0510,0.9626,1229356,18612868,15.1403,left-to-right,ukwiki,wikipedia,uk,Ukrainian,uk.wikipedia.org,Ukrainian Wikipedia
19,18043833.2500,0.6160,75357320.9167,0.4796,0.0000,8779.3861,2055.2500,0.2628,695.3333,35.2500,48.8333,0.0638,0.5847,191063.8333,0.0812,0.0047,0.1131,0.0342,0.9717,7316566,20383932,2.7860,left-to-right,enwiktionary,wiktionary,en,English,en.wiktionary.org,English Wiktionary
20,17008171.3333,0.6902,62113562.5833,0.5912,0.0071,9198.1638,1849.0833,0.2607,651.1667,13.9167,132.6667,0.0900,0.4529,131463.4167,0.2706,0.0950,0.3603,0.0987,0.9693,625282,19597756,31.3423,left-to-right,kowiki,wikipedia,ko,Korean,ko.wikipedia.org,Korean Wikipedia
21,16728912.0833,0.7017,62558738.2500,0.6658,0.0057,7637.3196,2190.4167,0.2572,658.5833,19.1667,131.9167,0.0696,0.3365,85360.3333,0.2821,0.2533,0.2189,0.1266,0.9553,1280859,12432902,9.7067,left-to-right,viwiki,wikipedia,vi,Vietnamese,vi.wikipedia.org,Vietnamese Wikipedia
22,7065942.0833,0.6870,61438305.4167,0.6983,0.0241,2209.3727,3198.1667,0.3064,968.5000,29.5833,121.1667,0.0897,0.2113,163254.0833,0.1445,0.2172,0.1311,0.1316,0.9628,330094,18839749,57.0739,right-to-left,hewiki,wikipedia,he,Hebrew,he.wikipedia.org,Hebrew Wikipedia
23,9794653.9167,0.6049,70613512.3333,0.5770,0.0145,4002.3103,2447.2500,0.1837,685.1667,23.8333,92.5833,0.0792,0.3139,86103.4167,0.0911,0.2451,0.1175,0.0884,0.9570,518552,11617132,22.4030,left-to-right,cswiki,wikipedia,cs,Czech,cs.wikipedia.org,Czech Wikipedia
24,10590059.9167,0.6343,75375035.8333,0.6603,0.0230,4709.8332,2248.5000,0.1931,587.2500,52.6667,67.7500,0.0502,0.3616,90814.4167,0.1007,0.1390,0.0934,0.0698,0.9641,2558386,19528617,7.6332,left-to-right,svwiki,wikipedia,sv,Swedish,sv.wikipedia.org,Swedish Wikipedia
25,12986479.9167,0.7628,50989926.5000,0.7353,0.0025,12397.5942,1047.5000,0.3679,347.5000,9.3333,38.9167,0.0850,0.1215,48179.5000,0.2877,0.1470,0.1724,0.0752,0.9581,153138,6067779,39.6229,left-to-right,thwiki,wikipedia,th,Thai,th.wikipedia.org,Thai Wikipedia
26,8187281.2500,0.6264,52514745.3333,0.6259,0.0071,4777.4070,1713.7500,0.2570,501.7500,19.8333,56.0000,0.0699,0.2072,75276.5000,0.0973,0.1522,0.0966,0.0668,0.9626,519859,13239682,25.4678,left-to-right,huwiki,wikipedia,hu,Hungarian,hu.wikipedia.org,Hungarian Wikipedia
27,17495190.7500,0.9463,56053317.2500,0.9419,0.0061,13367.0119,1308.8333,0.6539,221.5833,8.3333,69.3333,0.0486,0.0263,24465.0833,0.3944,0.1642,0.2148,0.2124,0.9257,155073,2348627,15.1453,left-to-right,hiwiki,wikipedia,hi,Hindi,hi.wikipedia.org,Hindi Wikipedia
28,6897867.1667,0.6119,54817021.0000,0.6531,0.0161,3841.3962,1795.6667,0.2844,515.4167,19.6667,70.8333,0.0519,0.2688,58880.3333,0.1082,0.1678,0.1449,0.0737,0.9567,546981,12689861,23.1998,left-to-right,fiwiki,wikipedia,fi,Finnish,fi.wikipedia.org,Finnish Wikipedia
29,6764688.8333,0.6831,37098747.5000,0.6928,0.0059,5667.9420,1193.5000,0.2597,318.6667,11.8333,57.1667,0.0573,0.0645,46127.0833,0.1860,0.2247,0.1630,0.1019,0.9602,216543,6086725,28.1086,left-to-right,elwiki,wikipedia,el,Greek,el.wikipedia.org,Greek Wikipedia
30,7931540.9167,0.6971,38404228.2500,0.6927,0.0073,7897.9745,1004.2500,0.2946,265.0000,11.6667,55.8333,0.0493,0.2729,39037.8333,0.1271,0.1332,0.1374,0.0843,0.9597,436661,5568609,12.7527,left-to-right,rowiki,wikipedia,ro,Romanian,ro.wikipedia.org,Romanian Wikipedia
31,6425076.8333,0.4781,12732998.9167,0.5334,0.0051,5625.3409,1142.1667,0.2524,255.4167,13.9167,83.9167,0.0319,0.0915,50277.3333,0.1615,0.1327,0.2577,0.1207,0.9639,226827,4274824,18.8462,left-to-right,simplewiki,wikipedia,simple,Simple English,simple.wikipedia.org,Simple English Wikipedia
32,5271415.5833,0.9046,20692713.4167,0.8826,0.0129,3990.4736,1321.0000,0.6444,307.5000,10.5833,82.3333,0.0394,0.2402,49832.2500,0.4505,0.1157,0.0868,0.0646,0.9579,133790,2714908,20.2923,left-to-right,bnwiki,wikipedia,bn,Bangla,bn.wikipedia.org,Bengali Wikipedia
33,5122194.3333,0.5861,25130322.7500,0.6053,0.0116,4033.2239,1270.0000,0.1759,316.0000,30.6667,46.6667,0.0294,0.2641,63906.6667,0.0486,0.1341,0.0811,0.0550,0.9709,606117,11789188,19.4504,left-to-right,nowiki,wikipedia,no,Norwegian,no.wikipedia.org,Norwegian Bokmål Wikipedia
34,3259875.4167,0.4778,12852594.0000,0.4570,0.0085,2582.2500,1262.4167,0.1139,399.5000,21.2500,56.0833,0.0879,0.5500,70333.1667,0.0364,0.2091,0.0589,0.0604,0.9657,720875,11207782,15.5475,left-to-right,cawiki,wikipedia,ca,Catalan,ca.wikipedia.org,Catalan Wikipedia
35,1716098.6667,0.3817,5074730.6667,0.4153,0.0000,475.6151,3608.1667,0.2105,757.2500,73.6667,24.0833,0.0342,0.2873,102964.0000,0.0419,0.0141,0.0401,0.0726,0.9419,128398,4229847,32.9432,left-to-right,metawiki,meta,en,English,meta.wikimedia.org,Meta-Wiki
36,5115847.5833,0.7694,28168702.2500,0.7950,0.0064,5957.8970,858.6667,0.2795,247.3333,14.5833,33.9167,0.0690,0.4784,52537.5000,0.1046,0.1353,0.1185,0.0699,0.9685,668139,8067917,12.0752,left-to-right,srwiki,wikipedia,sr,Serbian,sr.wikipedia.org,Serbian Wikipedia
37,5166530.1667,0.7499,17017669.5833,0.7663,0.0036,8104.3610,637.5000,0.3555,186.5833,6.7500,39.8333,0.0529,0.1144,24044.4167,0.4730,0.1202,0.4322,0.0774,0.9561,363016,2562414,7.0587,left-to-right,mswiki,wikipedia,ms,Malay,ms.wikipedia.org,Malay Wikipedia
38,4187700.2500,0.6713,25972448.5833,0.6810,0.0055,5476.5043,764.6667,0.2464,222.3333,10.7500,33.5000,0.0588,0.0594,29750.9167,0.1560,0.1724,0.1861,0.1137,0.9579,287776,6184495,21.4907,left-to-right,bgwiki,wikipedia,bg,Bulgarian,bg.wikipedia.org,Bulgarian Wikipedia
39,5210201.5000,0.6251,14380794.0000,0.5385,0.0000,10947.7181,475.9167,0.2091,165.0000,14.2500,11.5000,0.0245,0.4030,64586.1667,0.0234,0.0077,0.0467,0.0158,0.9815,4620226,7225098,1.5638,left-to-right,frwiktionary,wiktionary,fr,French,fr.wiktionary.org,French Wiktionary
40,4559058.4167,0.5776,21279074.0000,0.6011,0.0103,5591.6497,815.3333,0.1719,179.0833,13.1667,26.7500,0.0336,0.2807,21149.9167,0.1321,0.1983,0.1816,0.0651,0.9518,289062,5202961,17.9995,left-to-right,dawiki,wikipedia,da,Danish,da.wikipedia.org,Danish Wikipedia
41,4497452.6667,0.6966,19434686.1667,0.7154,0.0047,8320.9115,540.5000,0.2740,143.3333,9.5000,23.8333,0.0652,0.2857,15942.5833,0.1316,0.1782,0.1163,0.0951,0.9512,213894,3026062,14.1475,left-to-right,hrwiki,wikipedia,hr,Croatian,hr.wikipedia.org,Croatian Wikipedia
42,8225300.2500,0.7600,28776620.5833,0.7837,0.0000,29551.9769,278.3333,0.3064,68.1667,9.1667,5.1667,0.0471,0.5755,22602.4167,0.0329,0.0043,0.0351,0.0280,0.9802,1242100,2783878,2.2413,left-to-right,ruwiktionary,wiktionary,ru,Russian,ru.wiktionary.org,Russian Wiktionary
43,2437348.5833,0.7451,13089366.0000,0.8036,0.0061,3189.5510,764.1667,0.4287,226.0000,18.2500,45.5000,0.0757,0.1442,39856.0833,0.1537,0.1526,0.0682,0.0851,0.9638,191871,3668821,19.1213,left-to-right,azwiki,wikipedia,az,Azerbaijani,az.wikipedia.org,Azerbaijani Wikipedia
44,2019010.7500,0.7856,8753149.5833,0.8308,0.0056,2639.8049,764.8333,0.2910,254.0833,12.3333,93.9167,0.0782,0.4636,48529.7500,0.0566,0.1752,0.0325,0.0193,0.9520,219753,836782,3.8078,left-to-right,uzwiki,wikipedia,uz,Uzbek,uz.wikipedia.org,Uzbek Wikipedia
45,3265436.8333,0.6070,15140004.8333,0.6104,0.0052,5638.1643,579.1667,0.2077,155.3333,7.7500,24.3333,0.0633,0.2147,14224.2500,0.1541,0.2263,0.2550,0.1305,0.9431,243640,3029028,12.4324,left-to-right,skwiki,wikipedia,sk,Slovak,sk.wikipedia.org,Slovak Wikipedia
46,3357610.1667,0.8749,12459104.5000,0.8802,0.0054,10005.2948,335.5833,0.4498,87.2500,8.2500,16.1667,0.0458,0.3824,13681.0000,0.1823,0.1201,0.0927,0.0868,0.9589,151308,1798218,11.8845,left-to-right,tawiki,wikipedia,ta,Tamil,ta.wikipedia.org,Tamil Wikipedia
47,2394265.8333,0.3892,5509902.0833,0.4079,0.0000,6525.3668,366.9167,0.1782,100.3333,12.2500,22.0000,0.0585,0.0167,8814.9167,0.0773,0.1809,0.0994,0.1046,0.9294,96078,2787661,29.0146,left-to-right,enwikibooks,wikibooks,en,English,en.wikibooks.org,English Wikibooks
48,1402102.0000,0.4303,7924307.9167,0.4984,0.0060,2440.9146,574.4167,0.1114,161.9167,15.5000,28.5000,0.1120,0.1727,18610.7500,0.0540,0.2280,0.1020,0.0394,0.9501,233766,3587089,15.3448,left-to-right,etwiki,wikipedia,et,Estonian,et.wikipedia.org,Estonian Wikipedia
49,3505649.1667,0.5972,9305226.0833,0.5574,0.0000,18298.2993,191.5833,0.1353,63.6667,4.3333,2.0000,0.0413,0.7636,12879.5000,0.0215,0.0079,0.0398,0.0205,0.9658,1072923,3249747,3.0289,left-to-right,dewiktionary,wiktionary,de,German,de.wiktionary.org,German Wiktionary
50,2070543.1667,0.5568,9854190.1667,0.5794,0.0033,5786.3340,357.8333,0.1757,98.3333,3.3333,14.0833,0.0480,0.1967,25344.5000,0.0449,0.0712,0.0721,0.0459,0.9777,207323,3133313,15.1132,left-to-right,ltwiki,wikipedia,lt,Lithuanian,lt.wikipedia.org,Lithuanian Wikipedia
51,2695061.6667,0.8441,16083579.6667,0.8686,0.0021,9625.2202,280.0000,0.3961,71.9167,6.7500,17.9167,0.0714,0.2962,8349.3333,0.2325,0.1024,0.0051,0.0863,0.9462,232837,1074620,4.6153,left-to-right,kkwiki,wikipedia,kk,Kazakh,kk.wikipedia.org,Kazakh Wikipedia
52,1765617.5000,0.4955,7305927.6667,0.5346,0.0043,4752.6716,371.5000,0.1309,106.5000,10.6667,17.0000,0.0642,0.2889,15336.3333,0.0542,0.2794,0.1584,0.0792,0.9612,179906,2556066,14.2078,left-to-right,slwiki,wikipedia,sl,Slovenian,sl.wikipedia.org,Slovenian Wikipedia
53,1288460.3333,0.6614,7440362.9167,0.7614,0.0040,2808.6329,458.7500,0.1976,142.6667,8.2500,17.3333,0.1860,0.1943,23674.7500,0.0413,0.1313,0.0618,0.0733,0.9478,295197,3815356,12.9248,left-to-right,hywiki,wikipedia,hy,Armenian,hy.wikipedia.org,Armenian Wikipedia
54,973051.7500,0.4840,3914983.8333,0.3623,0.0000,2525.2208,385.3333,0.1159,178.9167,10.5000,12.5000,0.0324,0.1017,63370.7500,0.0071,0.0010,0.0298,0.0142,0.9622,984635,7536303,7.6539,left-to-right,enwikisource,wikisource,en,English,en.wikisource.org,English Wikisource
55,1120028.8333,0.5011,3359495.5000,0.4176,0.0000,2410.3920,464.6667,0.1438,151.6667,11.7500,19.7500,0.0280,0.0243,18747.9167,0.0885,0.0741,0.0762,0.0744,0.9536,31793,3440504,108.2158,left-to-right,enwikivoyage,wikivoyage,en,English,en.wikivoyage.org,English Wikivoyage
56,1560824.5833,0.5741,3192181.1667,0.5562,0.0070,5385.2487,289.8333,0.2183,104.2500,8.5000,15.8333,0.0573,0.1341,12459.2500,0.1336,0.0796,0.3415,0.0536,0.9533,130062,1063053,8.1734,left-to-right,zh_yuewiki,wikipedia,zh-yue,Cantonese,zh-yue.wikipedia.org,Cantonese Wikipedia
57,1202072.7500,0.3506,3019760.7500,0.3411,0.0000,2610.3643,460.5000,0.1564,131.4167,9.2500,22.2500,0.0303,0.0047,14456.2500,0.1093,0.0259,0.3350,0.1314,0.9449,44919,2565093,57.1049,left-to-right,enwikiquote,wikiquote,en,English,en.wikiquote.org,English Wikiquote
58,825964.4167,0.3010,3529050.4167,0.2274,0.0000,977.3763,845.0833,0.1718,173.0000,35.8333,9.0000,0.0105,0.2317,44758.5833,0.0250,0.0193,0.0570,0.0296,0.9647,58575,1544538,26.3686,left-to-right,mediawikiwiki,mediawiki,en,English,www.mediawiki.org,MediaWiki
59,822769.0000,0.2283,2332949.5000,0.2332,0.0047,1554.3495,529.3333,0.0556,167.8333,3.9167,34.0000,0.1612,0.2660,21771.0000,0.0908,0.2776,0.0573,0.0425,0.9410,405072,2404070,5.9349,left-to-right,euwiki,wikipedia,eu,Basque,eu.wikipedia.org,Basque Wikipedia
60,2547603.5000,0.9276,8119395.2500,0.9154,0.0054,13414.3229,189.9167,0.5337,49.2500,3.7500,9.7500,0.0345,0.5453,8321.5833,0.5227,0.1289,0.1294,0.0427,0.9620,89950,879710,9.7800,left-to-right,mrwiki,wikipedia,mr,Marathi,mr.wikipedia.org,Marathi Wikipedia
61,1603382.1667,0.6945,9298889.5000,0.7289,0.0022,6052.4020,264.9167,0.2542,77.6667,4.8333,12.2500,0.0587,0.1359,10846.2500,0.0509,0.0806,0.0736,0.0565,0.9575,165521,2006015,12.1194,left-to-right,kawiki,wikipedia,ka,Georgian,ka.wikipedia.org,Georgian Wikipedia
62,1161980.5833,0.4750,5165598.0000,0.5275,0.0033,3639.7199,319.2500,0.1455,99.5000,9.3333,9.2500,0.0476,0.2010,15398.8333,0.0692,0.1566,0.0899,0.0653,0.9609,118236,1743615,14.7469,left-to-right,lvwiki,wikipedia,lv,Latvian,lv.wikipedia.org,Latvian Wikipedia
63,2470730.5833,0.6375,6364884.2500,0.6204,0.0000,21345.4046,115.7500,0.1615,44.6667,3.7500,1.7500,0.0439,0.4578,8301.4167,0.0542,0.0018,0.1123,0.0356,0.9553,774036,2213314,2.8594,left-to-right,plwiktionary,wiktionary,pl,Polish,pl.wiktionary.org,Polish Wiktionary
64,3805492.1667,0.7390,12450621.9167,0.8258,0.0000,31299.4558,121.5833,0.2653,24.5000,7.2500,2.6667,0.0048,0.1247,4477.3333,0.1914,0.0148,0.1816,0.1326,0.9647,915560,792337,0.8654,left-to-right,eswiktionary,wiktionary,es,Spanish,es.wiktionary.org,Spanish Wiktionary
65,1460433.8333,0.8767,5362097.1667,0.8659,0.0131,5174.2563,282.2500,0.4513,63.4167,7.6667,9.5000,0.0426,0.1990,8168.5833,0.2512,0.2001,0.1505,0.0295,0.9512,82865,1512014,18.2467,left-to-right,mlwiki,wikipedia,ml,Malayalam,ml.wikipedia.org,Malayalam Wikipedia
66,2512005.1667,0.9650,12567233.9167,0.9700,0.0018,14112.3886,178.0000,0.3053,36.5000,2.7500,4.2500,0.1049,0.1227,4043.0000,0.1497,0.0861,0.0728,0.0489,0.9030,29563,420947,14.2390,left-to-right,knwiki,wikipedia,kn,Kannada,kn.wikipedia.org,Kannada Wikipedia
67,2587908.8333,0.6225,5842543.2500,0.6375,0.0033,13131.0385,197.0833,0.2306,34.9167,5.3333,2.7500,0.0097,0.6449,5038.7500,0.1061,0.0621,0.1507,0.0947,0.9521,457733,23202948,50.6910,left-to-right,shwiki,wikipedia,sh,Serbo-Croatian,sh.wikipedia.org,Serbo-Croatian Wikipedia
68,633988.5000,0.5507,3065434.7500,0.3643,0.0000,2549.5516,248.6667,0.0420,140.0833,5.9167,10.7500,0.0162,0.0840,61384.1667,0.0022,0.0002,0.0035,0.0041,0.9570,490795,7959960,16.2185,left-to-right,frwikisource,wikisource,fr,French,fr.wikisource.org,French Wikisource
69,1640916.1667,0.8626,5847018.2500,0.8661,0.0072,8235.4638,199.2500,0.3969,48.3333,6.5833,8.0000,0.0538,0.3042,16773.9167,0.0659,0.3385,0.0455,0.0152,0.9771,80890,2139429,26.4486,left-to-right,tewiki,wikipedia,te,Telugu,te.wikipedia.org,Telugu Wikipedia
70,1419897.2500,0.7127,5477763.1667,0.7629,0.0035,5482.2288,259.0000,0.2844,52.7500,6.0833,11.0833,0.0441,0.4686,5713.1667,0.2154,0.1919,0.1903,0.0767,0.9344,88255,998667,11.3157,left-to-right,sqwiki,wikipedia,sq,Albanian,sq.wikipedia.org,Albanian Wikipedia
71,2215193.8333,0.6697,5504763.9167,0.7070,0.0035,16439.2863,134.7500,0.2456,32.9167,3.8333,4.7500,0.0387,0.3210,3879.4167,0.1920,0.2124,0.1346,0.1059,0.9463,43912,849734,19.3508,left-to-right,tlwiki,wikipedia,tl,Tagalog,tl.wikipedia.org,Tagalog Wikipedia
72,1823925.0833,0.6677,4235952.1667,0.6657,0.0035,10671.4291,170.9167,0.2474,39.6667,6.0000,5.5000,0.0541,0.3346,4841.0833,0.0917,0.1166,0.0892,0.0849,0.9484,91301,979101,10.7239,left-to-right,bswiki,wikipedia,bs,Bosnian,bs.wikipedia.org,Bosnian Wikipedia
73,851990.0833,0.7758,3635220.9167,0.7901,0.0171,2877.5348,296.0833,0.5271,79.0833,6.9167,16.8333,0.0525,0.3866,23311.9167,0.1930,0.0551,0.0416,0.0127,0.9784,185730,1127319,6.0697,right-to-left,urwiki,wikipedia,ur,Urdu,ur.wikipedia.org,Urdu Wikipedia
74,720553.8333,0.3365,1858270.5000,0.3313,0.0060,2663.7850,270.5000,0.1256,87.1667,4.1667,8.2500,0.1312,0.2482,20215.6667,0.0235,0.1171,0.0296,0.0191,0.9705,194130,3068977,15.8089,left-to-right,glwiki,wikipedia,gl,Galician,gl.wikipedia.org,Galician Wikipedia
75,2288070.0833,0.8086,5650342.8333,0.7991,0.0035,10039.0644,227.9167,0.4479,27.4167,5.6667,6.8333,0.0129,0.7641,19800.7500,0.0879,0.0322,0.0357,0.0336,0.9858,1616615,2186978,1.3528,right-to-left,arzwiki,wikipedia,arz,Egyptian Arabic,arz.wikipedia.org,Egyptian Arabic Wikipedia
76,242118.8333,0.1672,925465.0000,0.1619,0.0000,549.4376,440.6667,0.2413,224.1667,16.0000,25.5000,0.1532,0.2583,26813.3333,0.1877,0.0982,0.0197,0.0140,0.9086,143934,2192349,15.2316,left-to-right,incubatorwiki,incubator,en,English,incubator.wikimedia.org,Wikimedia Incubator
77,2429372.3333,0.7049,12233854.5000,0.7314,0.0000,31965.4254,76.0000,0.3882,21.8333,5.3333,1.7500,0.0267,0.0041,13605.7500,0.1051,0.0050,0.0520,0.0345,0.9830,811336,1561345,1.9244,left-to-right,elwiktionary,wiktionary,el,Greek,el.wiktionary.org,Greek Wiktionary
78,609564.9167,0.4195,1429089.0833,0.3965,0.0000,2457.0974,248.0833,0.1382,87.0000,10.4167,19.0833,0.1161,0.0084,7997.5833,0.0308,0.2352,0.0621,0.0655,0.9108,29712,1137449,38.2825,left-to-right,enwikiversity,wikiversity,en,English,en.wikiversity.org,English Wikiversity
79,784288.2500,0.5682,3153638.0000,0.5952,0.0036,3477.9967,225.5000,0.1411,64.5833,6.8333,8.2500,0.0955,0.1476,14794.4167,0.0587,0.0916,0.0510,0.0300,0.9722,133240,1866065,14.0053,left-to-right,mkwiki,wikipedia,mk,Macedonian,mk.wikipedia.org,Macedonian Wikipedia
80,547006.0833,0.1772,1458419.8333,0.1559,0.0062,1722.4017,317.5833,0.0978,86.9167,4.2500,5.2500,0.1209,0.3409,25394.8333,0.0190,0.0998,0.0419,0.0110,0.9782,330731,3235263,9.7822,left-to-right,eowiki,wikipedia,eo,Esperanto,eo.wikipedia.org,Esperanto Wikipedia
81,533863.5833,0.3546,1576521.6667,0.2876,0.0080,1960.3314,272.3333,0.1327,87.0833,7.5000,9.1667,0.1076,0.3283,15952.7500,0.0232,0.0759,0.0309,0.0185,0.9660,227950,1890578,8.2938,left-to-right,bewiki,wikipedia,be,Belarusian,be.wikipedia.org,Belarusian Wikipedia
82,784300.9167,0.5915,2258116.0833,0.7180,0.0039,4809.2034,163.0833,0.2625,49.0833,6.0000,9.2500,0.1058,0.1122,4160.1667,0.1333,0.1970,0.0370,0.0228,0.9321,76358,416412,5.4534,left-to-right,swwiki,wikipedia,sw,Swahili,sw.wikipedia.org,Swahili Wikipedia
83,903675.0833,0.6694,2380693.0000,0.5879,0.0000,10631.4716,85.0000,0.1414,34.3333,3.6667,2.5833,0.0106,0.8426,7491.7500,0.0098,0.0015,0.0000,0.0080,0.9570,614935,1534365,2.4952,left-to-right,ruwikisource,wikisource,ru,Russian,ru.wikisource.org,Russian Wikisource
84,914879.7500,0.5188,2522869.6667,0.5201,0.0053,5365.8636,170.5000,0.1775,33.4167,7.8333,5.0000,0.0500,0.0169,6219.3333,0.0701,0.0688,0.0869,0.0405,0.9644,106675,1113645,10.4396,left-to-right,afwiki,wikipedia,af,Afrikaans,af.wikipedia.org,Afrikaans Wikipedia
